words;keep
sdg;yes
sustainability;yes
companies;yes
sdgs;yes
social;yes
csr;yes
reporting;yes
business;yes
study;yes
corporate;yes
performance;yes
management;yes
practices;yes
research;yes
model;yes
environmental;yes
economic;yes
countries;yes
financial;yes
indicators;yes
green;yes
energy;yes
paper;yes
firms;yes
implementation;yes
innovation;yes
analysis;yes
sector;yes
can;yes
global;yes
approach;yes
tourism;yes
governance;yes
students;yes
impact;yes
partnerships;yes
framework;yes
economy;yes
strategies;yes
findings;yes
education;yes
data;yes
agenda;yes
targets;yes
results;yes
industry;yes
based;yes
health;yes
also;yes
level;yes
supply;yes
local;yes
role;yes
reports;yes
achieving;yes
businesses;yes
literature;yes
disclosure;yes
used;yes
new;yes
private;yes
different;yes
factors;yes
policy;yes
using;yes
public;yes
value;yes
challenges;yes
case;yes
organizations;yes
article;yes
purpose;yes
enterprises;yes
implications;yes
smes;yes
among;yes
achievement;yes
information;yes
water;yes
stakeholders;yes
achieve;yes
contribution;yes
activities;yes
contribute;yes
united;yes
nations;yes
towards;yes
investment;yes
chain;yes
support;yes
however;yes
methodology;yes
change;yes
progress;yes
growth;yes
environment;yes
engagement;yes
aims;yes
work;yes
higher;yes
relationship;yes
significant;yes
use;yes
mining;yes
institutional;yes
system;yes
impacts;yes
production;yes
key;yes
future;yes
issues;yes
show;yes
potential;yes
government;yes
authors;yes
related;yes
national;yes
positive;yes
stakeholder;yes
knowledge;yes
well;yes
food;yes
community;yes
pandemic;yes
process;yes
two;yes
international;yes
within;yes
actors;yes
waste;yes
design;yes
circular;yes
current;yes
context;yes
need;yes
main;yes
provide;yes
society;yes
address;yes
developing;yes
first;yes
organizational;yes
policies;yes
identify;yes
climate;yes
resources;yes
training;yes
esg;yes
three;yes
goal;yes
islamic;yes
covid-19;yes
focus;yes
integration;yes
project;yes
influence;yes
may;yes
method;yes
quality;yes
review;yes
one;yes
important;yes
institutions;yes
strategy;yes
studies;yes
importance;yes
assessment;yes
responsibility;yes
adoption;yes
integrated;yes
systems;yes
commitment;yes
index;yes
specific;yes
help;yes
including;yes
projects;yes
consumption;yes
sample;yes
perspective;yes
provides;yes
proposed;yes
entrepreneurship;yes
governments;yes
developed;yes
manufacturing;yes
sectors;yes
practical;yes
contributions;yes
principles;yes
action;yes
better;yes
thus;yes
therefore;yes
theory;yes
order;yes
efforts;yes
company;yes
world;yes
finance;yes
